num_servers,num_users,response_time
2,10,536.4878048780488
2,20,899.679012345679
2,30,1176.057851239669
2,40,1662.894409937888
2,50,2033.218905472637
2,60,2621.452282157677
2,70,3033.665480427046
2,80,3359.190031152648
2,90,3866.279778393352
2,100,4088.775561097257
2,110,4556.537414965986
2,120,5039.072765072765
2,130,5345.305182341651
2,140,5765.70944741533
2,150,6090.9384359401
2,160,6104.071762870515
2,170,6733.462555066079
2,180,6871.291262135922
2,190,7030.505913272011
2,200,7270.89013732834
2,210,7482.373365041617
2,220,7765.373439273553
2,230,7992.56786102063
2,240,8313.966701352758
2,250,8604.338661338661
2,260,8980.509125840537
2,270,9350.224791859389
2,280,9439.77966101695
2,290,9698.518518518518
2,300,9831.71190674438
2,310,9602.343271555197
2,320,9875.376268540203
2,330,10495.19152157456
2,340,11008.70389419545
2,350,11204.28551034975
2,360,11420.14295628036
2,370,11743.57596218771
2,380,12018.53648915187
2,390,12305.79564381806
2,400,12494.30543410369
2,410,12820.76538695917
2,420,13145.84057108864
2,430,13230.44915746659
2,440,12895.71777399205
2,450,13197.59078289839
2,460,12816.06735469853
2,470,13552.74215842637
2,480,13542.88183237897
2,490,14299.97399286079
2,500,14051.13593203398
2,510,14698.99559039686
2,520,15001.85343584815
2,530,14907.73173031589
2,540,15642.53725127256
2,550,14123.16038164471
2,560,15318.20481927711
2,570,15466.98334064007
2,580,16085.7268418785
2,590,16150.62049978823
2,600,16789.57017909205
2,610,15291.30233510856
2,620,15515.38734381298
2,630,15895.25545418485
2,640,15132.05232331121
2,650,16142.7970011534
2,660,16042.68307459296
2,670,16562.74673629243
2,680,17426.18743109151
2,690,16921.42955450924
2,700,16172.80185647983
2,710,17745.40408306934
2,720,16730.09649427282
2,730,18495.3998630606
2,740,18688.25869638636
2,750,17473.75641452849
2,760,18936.5419269977
2,770,16941.5829276209
2,780,18739.10573534124
2,790,17568.01328693451
2,800,18539.95563886286
2,810,18380.4804072817
2,820,18616.35355074672
2,830,18132.534477567
2,840,18740.33412674799
2,850,20555.89414877977
2,860,20100.33362394653
2,870,20203.64205688021
2,880,19185.04998579949
2,890,19451.07834877843
2,900,19354.97861705082
2,910,19527.39274924471
2,920,19691.1790274382
2,930,19465.47917226552
2,940,18793.00850837543
2,950,19456.83635885293
2,960,18936.424368654
2,970,19390.70986859057
2,980,20418.60290742158
2,990,21491.76344357486
2,1000,20751.33616595851
2,1010,21138.43108141549
2,1020,20426.16393040921
2,1030,20704.69619024509
2,1040,20278.13602499399
2,1050,20616.35991430612
2,1060,21319.23202074982
2,1070,21456.9731371175
2,1080,21865.36565609813
2,1090,21047.22517771153
2,1100,22017.46557600545
2,1110,21254.30421076334
2,1120,20756.14037045302
2,1130,20663.41406768414
2,1140,22716.19469414602
2,1150,20887.85285807433
4,10,395.2439024390244
4,20,460.6172839506173
4,30,605.4876033057851
4,40,768.2981366459627
4,50,908.2885572139304
4,60,1110.767634854772
4,70,1314.562277580071
4,80,1658.82554517134
4,90,1821.07756232687
4,100,2033.83042394015
4,110,2215.394557823129
4,120,2364.022869022869
4,130,2581.596928982725
4,140,2773.745098039215
4,150,3001.379367720466
4,160,3051.859594383775
4,170,3198.273127753304
4,180,3339.654646324549
4,190,3373.961892247044
4,200,3494.39950062422
4,210,3603.334126040428
4,220,3690.527809307605
4,230,3835.868621064061
4,240,4014.046826222685
4,250,4149.093906093906
4,260,4245.400576368877
4,270,4420.883441258095
4,280,4523.066012488849
4,290,4643.940568475452
4,300,4743.263114071607
4,310,4740.631748589847
4,320,4859.106167056987
4,330,5120.770628311885
4,340,5290.82072005878
4,350,5404.289079229122
4,360,5488.893823733519
4,370,5610.480081026333
4,380,5754.936226166996
4,390,5780.801409352979
4,400,5955.465958775765
4,410,6097.681291895185
4,420,6238.781082688875
4,430,6331.812318419524
4,440,6271.484383872799
4,450,6171.258745141588
4,460,6314.249321021184
4,470,6198.261562998405
4,480,6909.735033836543
4,490,7115.154513003569
4,500,7234.954022988506
4,510,7344.338559529642
4,520,6450.119654012494
4,530,7605.069778406412
4,540,6683.990282276724
4,550,7043.82417083144
4,560,7564.758143685855
4,570,7697.952652345462
4,580,7863.186126669539
4,590,7991.219398559932
4,600,7908.194085797584
4,610,8073.567800081933
4,620,7795.534864973801
4,630,8007.441094803649
4,640,8384.198750488091
4,650,8185.851211072664
4,660,8193.703142748958
4,670,8620.346139500187
4,680,8814.30907754502
4,690,9172.690329590729
4,700,8929.602641913601
4,710,9547.319253783879
4,720,9465.66122874002
4,730,9195.598425196851
4,740,9436.506585612968
4,750,8803.292902365878
4,760,9416.903321275897
4,770,9498.993508601103
4,780,9515.297661006089
4,790,8808.369503321734
4,800,9648.272414870353
4,810,8887.489355137302
4,820,9992.606522401707
4,830,9278.302017464619
4,840,10496.38024397501
4,850,11487.10585122023
4,860,9329.902353966871
4,870,9748.52341281241
4,880,10349.91082078955
4,890,9751.051109238977
4,900,10716.11635656762
4,910,11251.54298269706
4,920,9991.940505297474
4,930,10738.46036011825
4,940,11785.10688646636
4,950,10274.28755590634
4,960,10914.93725592294
4,970,11788.46998196341
4,980,10457.6766131089
4,990,10728.34410502398
4,1000,11346.7360659835
4,1010,10747.76738431082
4,1020,11347.73829943641
4,1030,11674.73938364475
4,1040,11537.58303292478
4,1050,11294.7433944299
4,1060,11373.27729309125
4,1070,12295.44522307872
4,1080,11579.23489932886
4,1090,12296.4870442559
4,1100,12081.25994092252
4,1110,12423.77234857014
4,1120,11601.2561928141
4,1130,12196.32935191329
4,1140,11816.35277351458
4,1150,11899.17409258857
8,10,341.22
8,20,431.02
8,30,520.64
8,40,660.36
8,50,722.53
8,60,746.47
8,70,715.96
8,80,813.12
8,90,834.87
8,100,919.5
8,110,1022.5
8,120,1054.7
8,130,1239.5
8,140,1207.7
8,150,1240.2
8,160,1346.5
8,170,1518.4
8,180,1548.9
8,190,1657.1
8,200,1675.6
8,210,1776.9
8,220,1869.1
8,230,1936.4
8,240,2049
8,250,2134.3
8,260,2183.8
8,270,2256.6
8,280,2321.4
8,290,2415.7
8,300,2481.8
8,310,2517.5
8,320,2648.7
8,330,2500.1
8,340,2724
8,350,2732.3
8,360,2846
8,370,2897.2
8,380,2985.1
8,390,2996.2
8,400,2670.8
8,410,3104.7
8,420,3247.4
8,430,3019
8,440,3381.7
8,450,3548.1
8,460,3496.4
8,470,3292.2
8,480,3606.9
8,490,3391.7
8,500,3233.4
8,510,3737.6
8,520,3854.7
8,530,3891.8
8,540,3997.9
8,550,4054.2
8,560,4162.8
8,570,4227.4
8,580,4218.5
8,590,4204.7
8,600,4274.8
8,610,4141.9
8,620,4388.4
8,630,4343.8
8,640,4338.3
8,650,4435.7
8,660,4528.5
8,670,4400.4
8,680,4431.7
8,690,4753.5
8,700,4878.2
8,710,4928.2
8,720,4955.6
8,730,4951.1
8,740,5046.2
8,750,5034.8
8,760,5175.7
8,770,5190.6
8,780,5219.4
8,790,5962.4
8,800,5315.1
8,810,5354.6
8,820,5461.3
8,830,5293.7
8,840,5436.7
8,850,5624.2
8,860,5778.7
8,870,5876.5
8,880,5656.2
8,890,5700.3
8,900,5782.4
8,910,5916.3
8,920,5865.3
8,930,5652.1
8,940,5934.8
8,950,6009.1
8,960,6255.3
8,970,5961.5
8,980,6419.5
8,990,6347.2
8,1000,6526.6
8,1010,6772.6
8,1020,6670.6
8,1030,6750.3
8,1040,6705.2
8,1050,6420.1
8,1060,7686.5
8,1070,8142.5
8,1080,7220.2
8,1090,6976.6
8,1100,6911.4
8,1110,6840.5
8,1120,7088.2
8,1130,7037.2
8,1140,7102
8,1150,7039.1
